airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Air India,2019-05-15,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,11281
Jet Airways,2019-03-01,Banglore,New Delhi,16:55:00,08:15:00,920,1.0,No Info,26890
Indigo,2019-03-24,Banglore,New Delhi,13:00:00,15:50:00,170,0.0,No Info,8033
Air India,2019-04-21,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,4880
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,20:45:00,1485,1.0,In-flight meal not included,10844
Spicejet,2019-06-06,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,3873
Jet Airways,2019-05-09,Delhi,Cochin,22:50:00,19:00:00,1210,1.0,In-flight meal not included,12373
Jet Airways,2019-05-18,Kolkata,Banglore,08:25:00,08:15:00,1430,1.0,In-flight meal not included,9663
Indigo,2019-05-12,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,3943
Jet Airways,2019-05-03,Banglore,Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,5198
Jet Airways,2019-05-09,Delhi,Cochin,23:05:00,12:35:00,810,2.0,No Info,15129
Indigo,2019-06-24,Delhi,Cochin,05:05:00,12:10:00,425,1.0,No Info,6442
Spicejet,2019-05-24,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3873
Multiple Carriers,2019-03-06,Delhi,Cochin,09:00:00,15:30:00,390,1.0,In-flight meal not included,15136
Jet Airways,2019-05-15,Kolkata,Banglore,20:00:00,10:05:00,845,1.0,In-flight meal not included,8586
Indigo,2019-05-18,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No Info,6015
Jet Airways,2019-05-01,Kolkata,Banglore,16:30:00,12:00:00,1170,1.0,In-flight meal not included,9663
Spicejet,2019-03-24,Mumbai,Hyderabad,22:45:00,00:10:00,85,0.0,No Info,2227
Spicejet,2019-06-12,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No Info,3873
Jet Airways,2019-06-06,Delhi,Cochin,11:00:00,14:15:00,195,0.0,No Info,9564
Jet Airways,2019-06-06,Kolkata,Banglore,18:55:00,20:45:00,1550,1.0,In-flight meal not included,10844
Indigo,2019-06-09,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,4823
Indigo,2019-03-06,Delhi,Cochin,16:10:00,22:20:00,370,1.0,No Info,7205
Indigo,2019-05-03,Mumbai,Hyderabad,21:20:00,22:50:00,90,0.0,No Info,2437
Indigo,2019-04-03,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No Info,4049
Spicejet,2019-04-21,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No Info,4174
Indigo,2019-05-01,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Jet Airways,2019-06-24,Delhi,Cochin,11:40:00,19:00:00,440,2.0,In-flight meal not included,15812
Multiple Carriers,2019-06-06,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,13377
Indigo,2019-04-27,Delhi,Cochin,05:05:00,16:10:00,665,1.0,No Info,6171
Multiple Carriers,2019-06-27,Delhi,Cochin,04:55:00,19:15:00,860,1.0,No Info,7155
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,In-flight meal not included,10844
Vistara,2019-06-12,Kolkata,Banglore,20:20:00,09:05:00,765,1.0,No Info,7927
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,19:50:00,1430,1.0,In-flight meal not included,10844
Jet Airways,2019-06-12,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,In-flight meal not included,9899
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,16:20:00,1150,1.0,In-flight meal not included,10844
Air India,2019-06-09,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,5228
Indigo,2019-06-24,Kolkata,Banglore,11:30:00,14:05:00,155,0.0,No Info,4804
Jet Airways,2019-05-21,Kolkata,Banglore,08:25:00,08:15:00,1430,1.0,In-flight meal not included,8586
Air India,2019-03-06,Delhi,Cochin,05:55:00,07:40:00,1545,2.0,No Info,14641
Spicejet,2019-06-01,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No Info,3625
Indigo,2019-04-03,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,3943
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,16:20:00,1575,1.0,In-flight meal not included,10844
Jet Airways,2019-06-03,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,No Info,13014
Indigo,2019-05-21,Delhi,Cochin,11:55:00,00:55:00,780,1.0,No Info,6282
Spicejet,2019-03-24,Kolkata,Banglore,17:15:00,19:45:00,150,0.0,No Info,6461
Jet Airways,2019-03-06,Banglore,New Delhi,16:55:00,11:25:00,1110,1.0,No Info,17261
Multiple Carriers,2019-04-09,Delhi,Cochin,10:35:00,19:15:00,520,1.0,No Info,6106
Vistara,2019-04-01,Kolkata,Banglore,07:10:00,20:20:00,790,1.0,No Info,8452
Indigo,2019-06-12,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,5277
Multiple Carriers,2019-03-21,Delhi,Cochin,08:00:00,15:30:00,450,1.0,No Info,8307
Air India,2019-06-21,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No Info,3100
Indigo,2019-05-15,Delhi,Cochin,09:15:00,21:00:00,705,1.0,No Info,7503
Air Asia,2019-06-09,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,4409
Indigo,2019-06-09,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No Info,4823
Indigo,2019-05-03,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Air India,2019-03-03,Banglore,New Delhi,08:15:00,21:25:00,790,1.0,No Info,6781
Air India,2019-03-21,Banglore,New Delhi,11:50:00,13:00:00,1510,1.0,No Info,5092
Multiple Carriers,2019-03-03,Delhi,Cochin,13:05:00,22:20:00,555,1.0,No Info,14153
Multiple Carriers,2019-05-27,Delhi,Cochin,12:50:00,21:00:00,490,1.0,No Info,7005
Jet Airways,2019-06-03,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,5769
Jet Airways,2019-05-21,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,In-flight meal not included,10844
Air India,2019-05-15,Delhi,Cochin,09:45:00,09:25:00,1420,2.0,No Info,10975
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,18:15:00,1335,1.0,In-flight meal not included,10844
Air India,2019-03-09,Delhi,Cochin,04:00:00,07:40:00,1660,1.0,No Info,10315
Jet Airways,2019-05-09,Delhi,Cochin,20:00:00,04:25:00,505,2.0,In-flight meal not included,15318
Jet Airways,2019-05-21,Delhi,Cochin,11:30:00,12:35:00,1505,1.0,In-flight meal not included,12898
Indigo,2019-04-12,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No Info,4823
Indigo,2019-05-09,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No Info,4392
Jet Airways,2019-03-09,Delhi,Cochin,13:55:00,04:25:00,870,2.0,No Info,17229
Air India,2019-05-15,Delhi,Cochin,05:00:00,19:15:00,2295,2.0,No Info,10493
Jet Airways,2019-05-09,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No Info,15129
Jet Airways,2019-06-12,Banglore,Delhi,17:45:00,20:45:00,180,0.0,No Info,8016
Jet Airways,2019-05-15,Delhi,Cochin,02:15:00,12:35:00,620,1.0,In-flight meal not included,12373
Jet Airways,2019-04-01,Kolkata,Banglore,06:30:00,19:50:00,800,1.0,No Info,12681
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,No Info,13731
Air India,2019-06-12,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No Info,3100
Multiple Carriers,2019-06-06,Delhi,Cochin,06:00:00,21:00:00,900,1.0,No Info,7005
Air India,2019-06-24,Delhi,Cochin,10:55:00,19:15:00,500,2.0,No Info,11753
Indigo,2019-03-01,Chennai,Kolkata,14:40:00,17:05:00,145,0.0,No Info,7295
Indigo,2019-03-06,Delhi,Cochin,08:35:00,21:20:00,765,2.0,No Info,7682
Jet Airways,2019-06-12,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,In-flight meal not included,7594
Jet Airways,2019-05-15,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,In-flight meal not included,3210
Multiple Carriers,2019-03-06,Delhi,Cochin,07:30:00,19:15:00,705,1.0,No Info,15353
Indigo,2019-03-09,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No Info,7060
Jet Airways,2019-05-18,Kolkata,Banglore,18:55:00,12:00:00,1025,1.0,In-flight meal not included,10844
Indigo,2019-06-27,Delhi,Cochin,07:35:00,12:10:00,275,1.0,No Info,5054
Indigo,2019-06-09,Delhi,Cochin,07:35:00,16:10:00,515,1.0,No Info,6442
Indigo,2019-03-21,Delhi,Cochin,11:30:00,01:35:00,845,1.0,No Info,7318
Air India,2019-05-09,Kolkata,Banglore,10:00:00,05:25:00,1165,2.0,No Info,14424
Spicejet,2019-04-18,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,4174
Jet Airways,2019-05-27,Delhi,Cochin,13:25:00,04:25:00,900,2.0,No Info,16704
Multiple Carriers,2019-05-18,Delhi,Cochin,08:30:00,19:00:00,630,1.0,No Info,9205
Jet Airways,2019-03-15,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,2759
Jet Airways,2019-03-01,Banglore,New Delhi,14:05:00,07:40:00,1055,1.0,1 Long layover,22270
Air India,2019-04-21,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No Info,6121
Air India,2019-06-06,Kolkata,Banglore,17:30:00,20:25:00,1615,1.0,No Info,10413
Indigo,2019-06-06,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No Info,4823
Jet Airways,2019-06-24,Delhi,Cochin,18:15:00,12:35:00,1100,1.0,In-flight meal not included,10262
Multiple Carriers,2019-06-12,Delhi,Cochin,17:00:00,01:30:00,510,1.0,No Info,7198
Spicejet,2019-04-12,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No check-in baggage included,4319
Indigo,2019-04-27,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,4804
Air India,2019-05-27,Delhi,Cochin,14:10:00,17:10:00,180,0.0,No Info,6934
Goair,2019-06-15,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No Info,4959
Air India,2019-06-15,Delhi,Cochin,05:15:00,07:40:00,1585,3.0,No Info,10493
Air India,2019-06-27,Delhi,Cochin,07:00:00,19:15:00,735,1.0,No Info,8669
Multiple Carriers,2019-06-03,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No Info,13797
Indigo,2019-06-03,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No Info,4823
Jet Airways,2019-03-18,Banglore,New Delhi,21:25:00,09:00:00,695,1.0,No Info,13555
Multiple Carriers,2019-03-09,Delhi,Cochin,07:05:00,22:20:00,915,1.0,No Info,6916
Jet Airways,2019-05-09,Kolkata,Banglore,08:25:00,09:20:00,1495,1.0,In-flight meal not included,9663
Air India,2019-03-09,Delhi,Cochin,08:40:00,19:15:00,635,1.0,No Info,18959
Indigo,2019-05-09,Delhi,Cochin,10:35:00,01:30:00,895,1.0,No Info,8330
Jet Airways,2019-03-03,Delhi,Cochin,09:55:00,18:50:00,535,1.0,No Info,18550
Jet Airways,2019-05-09,Delhi,Cochin,08:00:00,19:00:00,660,1.0,No Info,15554
Multiple Carriers,2019-05-15,Delhi,Cochin,10:00:00,19:15:00,555,1.0,No Info,14323
Jet Airways,2019-05-21,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,In-flight meal not included,5608
Multiple Carriers,2019-06-03,Delhi,Cochin,08:30:00,19:15:00,645,1.0,No Info,7677
Air Asia,2019-03-18,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,4082
Jet Airways,2019-06-06,Delhi,Cochin,21:25:00,19:00:00,1295,2.0,No Info,13292
Goair,2019-04-18,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No Info,5048
Jet Airways,2019-03-18,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,4160
Indigo,2019-04-09,Kolkata,Banglore,15:15:00,20:05:00,290,1.0,No Info,4268
Air India,2019-05-27,Delhi,Cochin,16:40:00,19:15:00,1595,2.0,No Info,9968
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,16:20:00,1150,1.0,No Info,13759
Indigo,2019-06-09,Kolkata,Banglore,19:35:00,23:15:00,220,1.0,No Info,5276
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,No Info,13626
Spicejet,2019-06-27,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No Info,4812
Jet Airways,2019-06-27,Delhi,Cochin,21:25:00,19:00:00,1295,2.0,In-flight meal not included,11507
Indigo,2019-03-01,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,6565
Jet Airways,2019-06-12,Kolkata,Banglore,08:25:00,04:40:00,1215,1.0,In-flight meal not included,6224
Jet Airways,2019-05-27,Delhi,Cochin,20:55:00,04:25:00,450,1.0,In-flight meal not included,12898
Air India,2019-03-21,Delhi,Cochin,12:55:00,19:15:00,1820,2.0,No Info,11228
Air India,2019-06-09,Delhi,Cochin,17:40:00,23:00:00,320,1.0,No Info,7384
Spicejet,2019-05-06,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No Info,4491
Multiple Carriers,2019-03-21,Delhi,Cochin,14:35:00,22:20:00,465,1.0,In-flight meal not included,5999
Indigo,2019-05-27,Delhi,Cochin,05:05:00,12:10:00,425,1.0,No Info,6600
Air India,2019-04-06,Kolkata,Banglore,19:00:00,11:05:00,965,1.0,No Info,4437
Indigo,2019-03-09,Banglore,New Delhi,04:00:00,06:50:00,170,0.0,No Info,8033
Air India,2019-06-12,Kolkata,Banglore,17:30:00,13:45:00,1215,2.0,No Info,12224
Indigo,2019-05-12,Mumbai,Hyderabad,20:05:00,21:40:00,95,0.0,No Info,2227
Jet Airways,2019-05-06,Kolkata,Banglore,08:25:00,16:20:00,475,1.0,No Info,14781
Multiple Carriers,2019-05-15,Delhi,Cochin,08:45:00,19:00:00,615,1.0,No Info,9794
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,15:15:00,980,1.0,In-flight meal not included,11087
Jet Airways,2019-06-12,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,In-flight meal not included,6959
Air Asia,2019-06-06,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,4508
Multiple Carriers,2019-06-09,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,7408
Jet Airways,2019-06-12,Delhi,Cochin,07:05:00,12:35:00,330,1.0,No Info,16289
Jet Airways,2019-05-21,Delhi,Cochin,13:25:00,12:35:00,1390,2.0,No Info,15129
Air India,2019-05-09,Kolkata,Banglore,16:50:00,18:30:00,1540,1.0,No Info,8576
Indigo,2019-05-09,Delhi,Cochin,16:10:00,22:30:00,380,1.0,No Info,6704
Jet Airways,2019-03-21,Banglore,New Delhi,05:45:00,21:20:00,935,1.0,In-flight meal not included,7832
Jet Airways,2019-03-18,Banglore,New Delhi,07:00:00,07:40:00,1480,1.0,No Info,11455
Multiple Carriers,2019-05-01,Delhi,Cochin,10:20:00,19:00:00,520,1.0,No Info,9794
Air India,2019-03-09,Banglore,New Delhi,22:00:00,13:20:00,920,1.0,No Info,8425
Indigo,2019-05-18,Delhi,Cochin,10:35:00,01:30:00,895,1.0,No Info,7503
Jet Airways,2019-06-27,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No Info,13014
Jet Airways,2019-05-01,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No Info,8040
Air India,2019-04-06,Banglore,Delhi,17:00:00,19:45:00,165,0.0,No Info,4651
Jet Airways,2019-03-06,Delhi,Cochin,17:55:00,04:25:00,2070,2.0,In-flight meal not included,15812
Multiple Carriers,2019-03-27,Delhi,Cochin,09:55:00,21:00:00,665,1.0,No Info,12537
Jet Airways,2019-04-15,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No Info,7229
Multiple Carriers,2019-06-09,Delhi,Cochin,07:05:00,21:00:00,835,1.0,No Info,13587
Indigo,2019-06-03,Delhi,Cochin,07:35:00,12:10:00,275,1.0,No Info,6069
Jet Airways,2019-06-03,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No Info,13014
Air India,2019-03-15,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No Info,4939
Jet Airways,2019-06-03,Delhi,Cochin,17:30:00,19:00:00,1530,1.0,In-flight meal not included,10262
Multiple Carriers,2019-06-24,Delhi,Cochin,11:25:00,19:15:00,470,1.0,No Info,7155
Air Asia,2019-04-27,Delhi,Cochin,07:55:00,22:25:00,870,1.0,No Info,6451
Jet Airways,2019-06-03,Delhi,Cochin,09:00:00,12:35:00,1655,1.0,In-flight meal not included,10262
Multiple Carriers,2019-03-06,Delhi,Cochin,08:25:00,18:50:00,625,1.0,No Info,15135
Air India,2019-06-27,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,4145
Spicejet,2019-06-15,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,3841
Jet Airways,2019-05-18,Delhi,Cochin,14:35:00,04:25:00,830,2.0,In-flight meal not included,13848
Multiple Carriers,2019-05-18,Delhi,Cochin,17:50:00,01:30:00,460,2.0,No Info,19360
Jet Airways,2019-06-12,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,4995
Air India,2019-06-06,Kolkata,Banglore,07:00:00,05:25:00,1345,2.0,No Info,12009
Air Asia,2019-03-24,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,5620
Jet Airways,2019-05-18,Delhi,Cochin,07:05:00,04:25:00,1280,1.0,In-flight meal not included,12373
Indigo,2019-06-01,Delhi,Cochin,11:25:00,21:00:00,575,1.0,No Info,6416
Jet Airways,2019-03-12,Banglore,New Delhi,21:25:00,10:45:00,800,1.0,No Info,13817
Vistara,2019-04-15,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6216
Jet Airways,2019-05-18,Delhi,Cochin,23:05:00,19:00:00,1195,2.0,No Info,15129
Multiple Carriers,2019-03-27,Delhi,Cochin,09:45:00,22:20:00,755,1.0,No Info,6601
Indigo,2019-06-12,Kolkata,Banglore,19:20:00,23:45:00,265,1.0,No Info,3574
Air India,2019-03-24,Kolkata,Banglore,16:50:00,18:30:00,1540,1.0,No Info,14641
Jet Airways,2019-05-21,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,No Info,13067
Multiple Carriers,2019-03-27,Delhi,Cochin,07:05:00,16:10:00,545,1.0,No Info,6076
Multiple Carriers,2019-03-09,Delhi,Cochin,08:40:00,21:00:00,740,1.0,No Info,18228
Air India,2019-04-15,Banglore,Delhi,17:00:00,19:45:00,165,0.0,No Info,6121
Spicejet,2019-05-06,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No check-in baggage included,1965
Vistara,2019-05-27,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,11982
Spicejet,2019-05-24,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,3597
Indigo,2019-06-03,Delhi,Cochin,07:35:00,16:10:00,515,1.0,No Info,7514
Jet Airways,2019-06-15,Delhi,Cochin,11:00:00,14:15:00,195,0.0,No Info,9564
Jet Airways,2019-03-06,Banglore,New Delhi,21:25:00,11:25:00,840,1.0,No Info,17261
Indigo,2019-03-21,Delhi,Cochin,10:45:00,15:30:00,285,1.0,No Info,6218
Jet Airways,2019-04-06,Banglore,Delhi,19:50:00,22:50:00,180,0.0,No Info,7229
Air Asia,2019-05-27,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No Info,3383
Air Asia,2019-06-03,Delhi,Cochin,20:45:00,06:35:00,590,1.0,No Info,11410
Jet Airways,2019-05-09,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,No Info,14781
Jet Airways,2019-06-09,Kolkata,Banglore,06:30:00,19:50:00,800,1.0,No Info,14571
Air India,2019-05-09,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,10441
Vistara,2019-05-15,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,11982
Air Asia,2019-04-27,Delhi,Cochin,16:45:00,22:25:00,340,1.0,No Info,6451
Jet Airways,2019-05-15,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,In-flight meal not included,8586
Jet Airways,2019-06-24,Delhi,Cochin,14:35:00,12:35:00,1320,2.0,No Info,13376
Spicejet,2019-04-15,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3873
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,20:45:00,1550,1.0,In-flight meal not included,8529
Vistara,2019-05-03,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,11982
Spicejet,2019-06-27,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,3597
Jet Airways,2019-05-27,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No Info,7229
