airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-03-24,Banglore,New Delhi,07:10:00,10:05:00,175,0.0,No Info,6144
Jet Airways,2019-05-21,Kolkata,Banglore,17:00:00,09:45:00,1005,1.0,No Info,13067
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,No Info,14781
Air India,2019-05-24,Kolkata,Banglore,12:00:00,07:55:00,1195,2.0,No Info,9416
Jet Airways,2019-05-01,Kolkata,Banglore,20:25:00,19:10:00,1365,1.0,No Info,11467
Multiple Carriers,2019-06-12,Delhi,Cochin,18:15:00,01:30:00,435,1.0,No Info,13377
Jet Airways,2019-03-09,Delhi,Cochin,17:25:00,04:25:00,660,1.0,In-flight meal not included,11848
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,18:10:00,700,1.0,No Info,13759
Jet Airways,2019-05-24,Kolkata,Banglore,06:30:00,16:20:00,590,1.0,In-flight meal not included,10844
Spicejet,2019-04-27,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,3841
Air India,2019-06-12,Delhi,Cochin,20:30:00,08:15:00,705,1.0,No Info,8991
Indigo,2019-04-18,Banglore,Delhi,04:00:00,06:50:00,170,0.0,No Info,4423
Indigo,2019-05-12,Chennai,Kolkata,14:45:00,17:05:00,140,0.0,No Info,3858
Indigo,2019-03-27,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,5277
Jet Airways,2019-04-01,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No Info,5678
Jet Airways,2019-06-03,Delhi,Cochin,19:30:00,04:25:00,535,2.0,No Info,13014
Jet Airways,2019-05-15,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,4030
Spicejet,2019-06-09,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No Info,3971
Indigo,2019-06-06,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No Info,6386
Multiple Carriers,2019-05-06,Delhi,Cochin,10:20:00,19:00:00,520,1.0,No Info,9794
Jet Airways,2019-05-09,Delhi,Cochin,23:05:00,04:25:00,1760,2.0,No Info,16704
Multiple Carriers,2019-06-27,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No Info,9646
Air Asia,2019-04-21,Delhi,Cochin,07:55:00,22:25:00,870,1.0,No Info,7452
Vistara,2019-05-24,Kolkata,Banglore,17:00:00,18:50:00,1550,1.0,No Info,9870
Air India,2019-03-24,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No Info,2575
Multiple Carriers,2019-03-03,Delhi,Cochin,17:50:00,01:35:00,465,2.0,No Info,24528
Indigo,2019-03-24,Banglore,New Delhi,18:25:00,21:20:00,175,0.0,No Info,7303
Indigo,2019-03-06,Delhi,Cochin,18:35:00,01:35:00,420,1.0,No Info,14871
Air India,2019-05-01,Kolkata,Banglore,05:50:00,23:15:00,1045,2.0,No Info,10991
Air India,2019-03-06,Delhi,Cochin,13:30:00,08:15:00,1125,1.0,No Info,11563
Indigo,2019-05-21,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No Info,4049
Jet Airways,2019-05-21,Delhi,Cochin,02:15:00,19:00:00,1005,1.0,In-flight meal not included,12898
Air India,2019-03-01,Banglore,New Delhi,11:50:00,13:00:00,1510,1.0,1 Long layover,15434
Air India,2019-06-12,Kolkata,Banglore,05:50:00,20:25:00,875,2.0,No Info,12723
Multiple Carriers,2019-04-09,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No Info,7363
Spicejet,2019-05-09,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,2175
Jet Airways,2019-03-27,Delhi,Cochin,02:15:00,18:50:00,995,1.0,In-flight meal not included,6017
Air Asia,2019-05-18,Delhi,Cochin,07:55:00,22:25:00,870,1.0,No Info,7452
Air Asia,2019-04-21,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No Info,4409
Spicejet,2019-04-09,Delhi,Cochin,06:05:00,11:20:00,315,1.0,No Info,5351
Vistara,2019-05-03,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No Info,4668
Jet Airways,2019-06-21,Banglore,Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,5769
Jet Airways,2019-05-09,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No Info,7229
Jet Airways,2019-05-15,Kolkata,Banglore,09:35:00,23:35:00,840,1.0,No Info,14151
Multiple Carriers,2019-05-18,Delhi,Cochin,12:50:00,21:00:00,490,1.0,No Info,7670
Air Asia,2019-05-09,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,3807
Indigo,2019-03-27,Delhi,Cochin,09:10:00,21:00:00,710,1.0,No Info,10351
Jet Airways,2019-05-21,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,In-flight meal not included,4995
Jet Airways,2019-05-18,Kolkata,Banglore,18:55:00,09:20:00,865,1.0,No Info,14388
Jet Airways,2019-06-03,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,In-flight meal not included,10262
Indigo,2019-05-18,Kolkata,Banglore,15:30:00,18:05:00,155,0.0,No Info,4804
Multiple Carriers,2019-05-27,Delhi,Cochin,17:00:00,01:30:00,510,1.0,No Info,7198
Goair,2019-06-15,Banglore,Delhi,11:40:00,14:30:00,170,0.0,No Info,3898
Multiple Carriers,2019-03-09,Delhi,Cochin,07:30:00,19:45:00,735,1.0,No Info,12615
Indigo,2019-06-03,Delhi,Cochin,15:00:00,01:30:00,630,1.0,No Info,6104
Indigo,2019-03-27,Delhi,Cochin,14:30:00,17:35:00,185,0.0,No Info,4729
Air India,2019-05-09,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No Info,4667
Multiple Carriers,2019-05-27,Delhi,Cochin,14:00:00,01:30:00,690,1.0,No Info,13377
Jet Airways,2019-05-21,Delhi,Cochin,18:15:00,12:35:00,1100,1.0,In-flight meal not included,12898
Jet Airways,2019-05-18,Delhi,Cochin,10:00:00,04:25:00,1105,1.0,In-flight meal not included,12373
Indigo,2019-03-03,Delhi,Cochin,08:25:00,21:00:00,755,1.0,No Info,14871
Jet Airways,2019-03-09,Delhi,Cochin,06:50:00,04:25:00,1295,1.0,No Info,16289
Indigo,2019-03-15,Banglore,New Delhi,23:30:00,02:20:00,170,0.0,No Info,8033
Jet Airways,2019-05-09,Delhi,Cochin,19:45:00,04:25:00,520,1.0,In-flight meal not included,12373
Jet Airways,2019-05-12,Banglore,Delhi,19:50:00,22:50:00,180,0.0,No Info,7229
Jet Airways,2019-06-09,Kolkata,Banglore,18:55:00,12:00:00,1025,1.0,No Info,14571
Air India,2019-05-21,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No Info,3100
Air India,2019-04-09,Delhi,Cochin,12:55:00,19:15:00,1820,2.0,No Info,9968
Indigo,2019-03-21,Banglore,New Delhi,01:30:00,04:15:00,165,0.0,No Info,4777
Jet Airways,2019-05-27,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,In-flight meal not included,4050
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,19:40:00,1435,1.0,In-flight meal not included,10031
Indigo,2019-06-18,Mumbai,Hyderabad,20:05:00,21:40:00,95,0.0,No Info,2227
Jet Airways,2019-06-06,Delhi,Cochin,02:15:00,19:00:00,1005,1.0,In-flight meal not included,10262
Jet Airways,2019-04-06,Delhi,Cochin,11:00:00,14:15:00,195,0.0,In-flight meal not included,4886
Air India,2019-05-27,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No Info,10467
Indigo,2019-05-03,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No Info,4823
Jet Airways,2019-06-06,Delhi,Cochin,20:55:00,04:25:00,450,1.0,No Info,14714
Indigo,2019-03-09,Banglore,New Delhi,00:40:00,03:25:00,165,0.0,No Info,4545
Jet Airways,2019-06-09,Delhi,Cochin,22:50:00,19:00:00,1210,1.0,No Info,14714
Spicejet,2019-06-27,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,3873
Air India,2019-03-21,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No Info,3670
Goair,2019-04-03,Delhi,Cochin,07:00:00,12:55:00,355,1.0,No Info,4725
Jet Airways,2019-06-24,Delhi,Cochin,02:15:00,12:35:00,620,1.0,In-flight meal not included,10262
Multiple Carriers,2019-06-01,Delhi,Cochin,07:05:00,21:00:00,835,1.0,In-flight meal not included,10406
Spicejet,2019-06-15,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No Info,2753
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,12:00:00,1025,1.0,No Info,13044
Indigo,2019-06-24,Delhi,Cochin,17:10:00,01:30:00,500,1.0,No Info,5684
Indigo,2019-03-24,Banglore,New Delhi,04:00:00,06:50:00,170,0.0,No Info,4777
Jet Airways,2019-06-27,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No Info,8016
Air India,2019-06-27,Delhi,Cochin,10:55:00,19:15:00,500,2.0,No Info,11753
Air India,2019-03-21,Banglore,New Delhi,06:55:00,23:20:00,985,1.0,No Info,6987
Jet Airways,2019-06-24,Delhi,Cochin,20:55:00,19:00:00,1325,1.0,In-flight meal not included,10262
Vistara,2019-05-15,Banglore,Delhi,19:30:00,22:15:00,165,0.0,No Info,4878
Jet Airways,2019-03-09,Banglore,New Delhi,05:50:00,15:00:00,550,1.0,In-flight meal not included,10037
Jet Airways,2019-06-06,Delhi,Cochin,21:50:00,04:25:00,395,1.0,No Info,14714
Indigo,2019-03-06,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,14871
Jet Airways,2019-05-18,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,4050
Goair,2019-06-06,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No Info,3898
Jet Airways,2019-03-21,Banglore,New Delhi,08:55:00,19:10:00,615,1.0,In-flight meal not included,7832
Indigo,2019-06-27,Mumbai,Hyderabad,20:05:00,21:40:00,95,0.0,No Info,2227
Jet Airways,2019-05-09,Kolkata,Banglore,18:55:00,10:05:00,910,1.0,In-flight meal not included,8586
Jet Airways,2019-06-27,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,In-flight meal not included,4995
Indigo,2019-06-09,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No Info,3597
Indigo,2019-06-21,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No Info,4804
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,09:30:00,875,1.0,No Info,13817
Jet Airways,2019-06-03,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No Info,5678
Jet Airways,2019-05-27,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,No Info,15129
Air Asia,2019-05-15,Kolkata,Banglore,07:35:00,23:30:00,955,1.0,No Info,5192
Air India,2019-04-03,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No Info,3100
Indigo,2019-05-01,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No Info,4823
Multiple Carriers,2019-05-27,Delhi,Cochin,11:30:00,19:15:00,465,1.0,In-flight meal not included,9254
Multiple Carriers,2019-06-09,Delhi,Cochin,07:05:00,16:10:00,545,1.0,No Info,9646
Air India,2019-05-15,Kolkata,Banglore,09:25:00,18:30:00,545,1.0,No Info,8891
Air India,2019-05-18,Kolkata,Banglore,05:50:00,12:30:00,1840,2.0,No Info,12723
Jet Airways,2019-05-21,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,In-flight meal not included,13029
Jet Airways,2019-05-09,Delhi,Cochin,23:05:00,04:25:00,1760,2.0,No Info,15129
Indigo,2019-03-03,Banglore,New Delhi,08:30:00,11:30:00,180,0.0,No Info,6860
Air India,2019-06-06,Delhi,Cochin,05:55:00,19:15:00,800,2.0,No Info,10861
Vistara,2019-04-01,Kolkata,Banglore,17:00:00,10:45:00,1065,1.0,No Info,9187
Air Asia,2019-06-24,Delhi,Cochin,07:55:00,13:25:00,330,1.0,No Info,6152
Air India,2019-05-12,Kolkata,Banglore,12:00:00,11:10:00,1390,2.0,No Info,10676
Indigo,2019-06-06,Delhi,Cochin,21:50:00,03:35:00,345,1.0,No Info,6195
Air India,2019-06-27,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No Info,7480
Spicejet,2019-06-21,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,3841
Air India,2019-04-06,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,4729
Air India,2019-06-06,Delhi,Cochin,06:50:00,07:40:00,1490,2.0,No Info,13381
Air India,2019-05-06,Kolkata,Banglore,12:00:00,11:10:00,1390,2.0,No Info,10676
Air India,2019-05-12,Kolkata,Banglore,10:00:00,23:15:00,795,1.0,No Info,10203
Indigo,2019-06-18,Banglore,Delhi,05:30:00,08:20:00,170,0.0,No Info,3943
Vistara,2019-06-24,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No Info,4668
Indigo,2019-04-21,Banglore,Delhi,18:25:00,21:20:00,175,0.0,No Info,4823
Air India,2019-06-09,Kolkata,Banglore,09:25:00,05:35:00,1210,2.0,No Info,11642
Jet Airways,2019-05-27,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No Info,16079
Jet Airways,2019-05-01,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,In-flight meal not included,8586
Indigo,2019-03-09,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,12351
Indigo,2019-03-21,Mumbai,Hyderabad,21:20:00,22:45:00,85,0.0,No Info,2227
Indigo,2019-03-06,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No Info,8025
Jet Airways,2019-06-15,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,No Info,13014
Indigo,2019-06-01,Banglore,Delhi,20:00:00,22:50:00,170,0.0,No Info,4823
Jet Airways,2019-05-24,Delhi,Cochin,11:40:00,19:00:00,440,2.0,No Info,21219
Jet Airways,2019-05-18,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,5198
Indigo,2019-06-09,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No Info,6386
Air India,2019-04-03,Kolkata,Banglore,19:00:00,11:05:00,965,1.0,No Info,4227
Jet Airways,2019-06-03,Delhi,Cochin,21:50:00,04:25:00,395,1.0,No Info,16079
Spicejet,2019-06-18,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,1965
Indigo,2019-03-03,Banglore,New Delhi,20:00:00,22:55:00,175,0.0,No Info,7303
Jet Airways,2019-04-06,Banglore,Delhi,18:55:00,22:00:00,185,0.0,No Info,7229
Air India,2019-06-15,Delhi,Cochin,05:15:00,19:15:00,2280,3.0,No Info,10703
Spicejet,2019-06-06,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,3597
Jet Airways,2019-06-06,Kolkata,Banglore,14:05:00,20:45:00,400,1.0,In-flight meal not included,10844
Multiple Carriers,2019-06-09,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No Info,12192
Indigo,2019-06-06,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,6093
Jet Airways,2019-06-27,Delhi,Cochin,08:10:00,12:35:00,1705,2.0,No Info,14300
Indigo,2019-05-21,Kolkata,Banglore,06:20:00,10:20:00,240,1.0,No Info,4226
Jet Airways,2019-04-01,Kolkata,Banglore,09:35:00,10:55:00,1520,1.0,No Info,11467
Jet Airways,2019-06-12,Delhi,Cochin,14:00:00,19:00:00,300,1.0,In-flight meal not included,10262
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,22:05:00,750,1.0,No Info,14151
Jet Airways,2019-05-12,Kolkata,Banglore,17:00:00,22:05:00,1745,1.0,No Info,13067
Jet Airways,2019-05-01,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,No Info,14781
Air India,2019-06-15,Delhi,Cochin,12:55:00,19:15:00,1820,2.0,No Info,12646
Vistara,2019-06-12,Kolkata,Banglore,17:00:00,10:45:00,1065,1.0,No Info,8452
Goair,2019-05-06,Kolkata,Banglore,16:40:00,00:15:00,455,1.0,No Info,7102
Jet Airways,2019-05-18,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,In-flight meal not included,13029
Jet Airways,2019-03-27,Delhi,Cochin,21:50:00,19:45:00,1315,1.0,In-flight meal not included,7438
Jet Airways,2019-06-09,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,In-flight meal not included,10844
Multiple Carriers,2019-05-21,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,14067
Jet Airways,2019-05-06,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,No Info,14388
Vistara,2019-03-01,Banglore,New Delhi,11:30:00,14:10:00,160,0.0,No Info,12648
Indigo,2019-06-03,Delhi,Cochin,14:20:00,22:30:00,490,1.0,No Info,6938
Air Asia,2019-05-09,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No Info,4282
Air India,2019-04-27,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No Info,5228
Goair,2019-05-01,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No Info,3898
Spicejet,2019-06-15,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3543
Goair,2019-03-03,Delhi,Cochin,07:00:00,12:50:00,350,1.0,No Info,7378
Indigo,2019-05-09,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No Info,4049
Jet Airways,2019-03-27,Delhi,Cochin,02:15:00,04:25:00,1570,1.0,In-flight meal not included,6017
Spicejet,2019-05-12,Kolkata,Banglore,11:35:00,18:50:00,435,1.0,No Info,8479
Jet Airways,2019-06-12,Kolkata,Banglore,06:30:00,16:20:00,590,1.0,In-flight meal not included,9899
Vistara,2019-03-09,Delhi,Cochin,06:00:00,09:10:00,190,0.0,No Info,7266
Spicejet,2019-05-09,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3859
Spicejet,2019-06-15,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No check-in baggage included,1965
Indigo,2019-06-01,Delhi,Cochin,20:25:00,01:30:00,305,1.0,No Info,6593
Jet Airways,2019-05-18,Banglore,Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,6144
Indigo,2019-05-12,Mumbai,Hyderabad,21:20:00,22:50:00,90,0.0,No Info,2227
Indigo,2019-05-09,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No Info,3597
Jet Airways,2019-05-09,Delhi,Cochin,17:30:00,12:35:00,1145,1.0,In-flight meal not included,12373
Spicejet,2019-03-18,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3847
Indigo,2019-05-15,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No Info,4823
Multiple Carriers,2019-05-09,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No Info,10197
Air India,2019-06-15,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No Info,4667
Air India,2019-05-09,Delhi,Cochin,12:00:00,19:15:00,435,2.0,No Info,8918
Indigo,2019-05-06,Kolkata,Banglore,15:15:00,20:05:00,290,1.0,No Info,4775
Air India,2019-05-09,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No Info,7480
Multiple Carriers,2019-06-27,Delhi,Cochin,10:00:00,01:30:00,930,1.0,No Info,7198
Air India,2019-05-06,Kolkata,Banglore,12:00:00,18:30:00,1830,2.0,No Info,10151
Indigo,2019-05-03,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No Info,3943
Indigo,2019-03-21,Delhi,Cochin,07:35:00,22:20:00,885,1.0,No Info,6558
Jet Airways,2019-06-12,Delhi,Cochin,22:50:00,19:00:00,1210,1.0,In-flight meal not included,10262
Jet Airways,2019-06-12,Kolkata,Banglore,08:25:00,20:45:00,740,1.0,In-flight meal not included,9899
Indigo,2019-03-09,Banglore,New Delhi,06:00:00,08:45:00,165,0.0,No Info,7648
Multiple Carriers,2019-06-27,Delhi,Cochin,10:20:00,19:15:00,535,1.0,No Info,7741
Multiple Carriers,2019-05-21,Delhi,Cochin,11:40:00,21:00:00,560,1.0,No Info,7485
Jet Airways,2019-06-03,Delhi,Cochin,19:45:00,04:25:00,520,1.0,No Info,14714
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,09:30:00,1165,1.0,No Info,17261
Air India,2019-05-12,Kolkata,Banglore,09:50:00,23:15:00,805,3.0,No Info,14015
Air India,2019-03-27,Delhi,Cochin,21:30:00,19:15:00,1305,2.0,No Info,8665
Jet Airways,2019-06-03,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,In-flight meal not included,10368
Air Asia,2019-03-24,Banglore,New Delhi,05:50:00,08:40:00,170,0.0,No Info,4284
Multiple Carriers,2019-06-01,Delhi,Cochin,07:00:00,21:00:00,840,1.0,No Info,7408
Jet Airways,2019-05-21,Banglore,Delhi,19:50:00,22:50:00,180,0.0,In-flight meal not included,4030
Multiple Carriers,2019-06-12,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No Info,13377
Jet Airways,2019-05-21,Delhi,Cochin,22:50:00,04:25:00,335,1.0,No Info,16079
Air Asia,2019-05-09,Kolkata,Banglore,07:35:00,23:30:00,955,1.0,No Info,5192
Indigo,2019-03-18,Mumbai,Hyderabad,20:05:00,21:35:00,90,0.0,No Info,2227
Multiple Carriers,2019-03-09,Delhi,Cochin,17:00:00,01:35:00,515,1.0,No Info,14343
Indigo,2019-05-18,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No Info,4823
